title;short_description;description;category;original_price;sale_price;regular_price;images;url
Moyra Nail Prep;Nail prep is te gebruiken als dehydrator en wordt aangebracht voor er acryl, gel, acrylgel of gelpolish op komt.;<p>Nail prep is te gebruiken als dehydrator en wordt aangebracht voor er acryl, gel, acrylgel of gelpolish op komt.</p><p>Wacht een paar seconden met het opdoen van acid free primer na deze prep voor het beste resultaat.</p><p>Inhoud: 13ml</p><p></p>;Moyra Vloeistoffen;;;2,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/c77b882186be4bfed3325bdb1c1b787be6ea798a.jpg;https://www.nagelproduct.nl/a-54718499/moyra-vloeistoffen/moyra-nail-prep/
Moyra Cuticle Oil Peach in fles met borstel;Inhoud: 12ml;<p>Inhoud: 12ml</p><p>Betreft een oranje kleur</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/13d5f3a96466f373827fdb43226db9ac88873950.jpg;https://www.nagelproduct.nl/a-54793019/moyra-treatments/moyra-cuticle-oil-peach-in-fles-met-borstel/
Moyra Cuticle Oil Pineapple in fles met borstel;Inhoud: 12ml;<p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/5183464dc6b80ebbd396714940b1d69cf5953278.jpg;https://www.nagelproduct.nl/a-54793008/moyra-treatments/moyra-cuticle-oil-pineapple-in-fles-met-borstel/
Moyra Cuticle Oil Green Melon;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/40c196a3b80292e1d7880e7d236acfe77fa19b57.jpg;https://www.nagelproduct.nl/a-60006899/moyra-treatments/moyra-cuticle-oil-green-melon/
Moyra Cuticle Oil Banana Split;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/9d1034459417c730a5da57e2dca1a1a304d2b5a0.jpg;https://www.nagelproduct.nl/a-58861454/moyra-treatments/moyra-cuticle-oil-banana-split/
Moyra Cuticle Oil Sky Blue Vanille;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/7ad33a86ea3054d796308f268fbccfb3a37b2804.jpg;https://www.nagelproduct.nl/a-54675940/moyra-treatments/moyra-cuticle-oil-sky-blue-vanille/
Moyra Cuticle Oil Cherry Wine;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/f231a6a843aa35270e3f8ab05e789aab10f78d59.jpg;https://www.nagelproduct.nl/a-54675958/moyra-treatments/moyra-cuticle-oil-cherry-wine/
Moyra Cuticle Oil Sea Blue Coconut;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/21e3f013463bac48a381f2a20b6732a1268b8480.jpg;https://www.nagelproduct.nl/a-54675937/moyra-treatments/moyra-cuticle-oil-sea-blue-coconut/
Moyra Cuticle Oil Rasberry Pink;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/f1b2efcaf149dad2a7a3552a3b33d5cc83a4128c.jpg;https://www.nagelproduct.nl/a-54675936/moyra-treatments/moyra-cuticle-oil-rasberry-pink/
Moyra Cuticle Oil Orange Mango;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/87aab254236318dd859279ffb4607761e73903c3.jpg;https://www.nagelproduct.nl/a-54675929/moyra-treatments/moyra-cuticle-oil-orange-mango/
Moyra Cuticle Oil Red Apple;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/550008207928bfe8c13635524f177d26e6fb976f.jpg;https://www.nagelproduct.nl/a-54675927/moyra-treatments/moyra-cuticle-oil-red-apple/
